profile_id,opportunity_id,chat_message,major,city,skills,interest,program_type,work_mode,company_name,program_name,opportunity_role_cluster,opportunity_required_skills,opportunity_preferred_skills,target_score,predicted_score,absolute_error
ds-scientist-jeddah,87,Data science student at KAU in Jeddah looking for data scientist COOP with statistics and Python.,DS,Jeddah,python; sql; numpy,Data Science,COOP,Hybrid,Banque Saudi Fransi (BSF),Coop Training Program,Cybersecurity,linux; networking; cybersecurity fundamentals; security fundamentals,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring,38.5,48.8170861110294,10.317086111029397
no-interview-ft,97,Fintech student seeking internship with no interview required in Riyadh.,FT,Riyadh,sql,,Internship,,Saudi Motorsport Company (SMC),COOP Trainee (IT Asset Project Management),General Computing,python; apis; sql; git; javascript; html; css; react,docker; testing; cloud; rest apis; typescript; ui testing,43.5,53.76883053358469,10.26883053358469
de-cloud-dammam,150,Data engineer student in Dammam targeting cloud and big data training with AWS.,DE,Dammam,python; sql,,Training,Hybrid,Boeing Saudi Arabia Limited,Intern - Info Technology & Data Analytics (Riyadh),Data Analytics,linux; networking; cybersecurity fundamentals; security fundamentals; python; machine learning; data analysis; sql; etl; apis; git; javascript; html; css; react,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring; nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; docker; testing; cloud; rest apis; typescript; ui testing; statistics; pandas; visualization,47.33,57.5444639158239,10.214463915823899
ds-scientist-jeddah,107,Data science student at KAU in Jeddah looking for data scientist COOP with statistics and Python.,DS,Jeddah,python; sql; numpy,Data Science,COOP,Hybrid,sirar by stc,Cooperative Training Program,Software Engineering,networking; linux; security fundamentals; cybersecurity fundamentals; python; apis; sql; git; javascript; html; css; react,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment; docker; testing; cloud; rest apis; typescript; ui testing,52.33,62.523426422928,10.193426422927999
ds-scientist-jeddah,1,Data science student at KAU in Jeddah looking for data scientist COOP with statistics and Python.,DS,Jeddah,python; sql; numpy,Data Science,COOP,Hybrid,Saudi Aramco,University Internship Program (UIP),General Computing,,,38.5,48.684458008402856,10.184458008402856
qual-ielts-intern,36,Business-oriented CIS student with IELTS 6.5 seeking internship in Jeddah.,CIS,Jeddah,excel; sql,,Internship,On-site,PwC Middle East (Assurance COOP & Summer Internship Programme 2026),"Assurance, COOP and Summer Internship Programme 2026 – Middle East",General Computing,,,55.17,44.99291652817521,10.177083471824794
no-interview-ft,60,Fintech student seeking internship with no interview required in Riyadh.,FT,Riyadh,sql,,Internship,,Cisco,Cisco NetVersity (Saudi Arabia),Cybersecurity,networking; linux; security fundamentals; cybersecurity fundamentals,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment,37.5,47.6761721467668,10.176172146766802
ds-scientist-jeddah,104,Data science student at KAU in Jeddah looking for data scientist COOP with statistics and Python.,DS,Jeddah,python; sql; numpy,Data Science,COOP,Hybrid,Zain KSA,Zain Pioneers Program,Network Engineering,networking; linux; security fundamentals; cybersecurity fundamentals,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment,33.0,43.16279026457227,10.162790264572273
qual-ielts-intern,98,Business-oriented CIS student with IELTS 6.5 seeking internship in Jeddah.,CIS,Jeddah,excel; sql,,Internship,On-site,Saudi Motorsport Company (SMC),COOP Trainee (Supply Chain Excellence Associate),Data Analytics,linux; networking; cybersecurity fundamentals; security fundamentals,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring,65.17,55.017121166189256,10.152878833810746
ds-scientist-jeddah,150,Data science student at KAU in Jeddah looking for data scientist COOP with statistics and Python.,DS,Jeddah,python; sql; numpy,Data Science,COOP,Hybrid,Boeing Saudi Arabia Limited,Intern - Info Technology & Data Analytics (Riyadh),Data Analytics,linux; networking; cybersecurity fundamentals; security fundamentals; python; machine learning; data analysis; sql; etl; apis; git; javascript; html; css; react,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring; nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; docker; testing; cloud; rest apis; typescript; ui testing; statistics; pandas; visualization,49.83,59.98054095013292,10.150540950132921
cs-iau-backend,79,CS student at IAU with Python and SQL seeking backend developer internship in Riyadh or Dammam.,CS,Riyadh,python; sql,,Internship,Hybrid,Tabby,Intern Data Engineer,Data Engineering,python; apis; sql; git; machine learning; data analysis; etl,docker; testing; cloud; rest apis; nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi,91.5,81.35057036133954,10.149429638660465
de-cloud-dammam,133,Data engineer student in Dammam targeting cloud and big data training with AWS.,DE,Dammam,python; sql,,Training,Hybrid,Help AG (e& enterprise),Cybersecurity Intern,Cybersecurity,networking; linux; security fundamentals; cybersecurity fundamentals,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment,33.5,43.62773722450097,10.127737224500969
no-interview-ft,107,Fintech student seeking internship with no interview required in Riyadh.,FT,Riyadh,sql,,Internship,,sirar by stc,Cooperative Training Program,Software Engineering,networking; linux; security fundamentals; cybersecurity fundamentals; python; apis; sql; git; javascript; html; css; react,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment; docker; testing; cloud; rest apis; typescript; ui testing,53.5,63.62462905869783,10.124629058697828
cs-iau-backend,77,CS student at IAU with Python and SQL seeking backend developer internship in Riyadh or Dammam.,CS,Riyadh,python; sql,,Internship,Hybrid,Tabby,Intern Backend (GO) Engineer,Software Engineering,python; apis; sql; git; javascript; html; css; react,docker; testing; cloud; rest apis; typescript; ui testing,88.5,78.37583776770376,10.124162232296243
ds-remote-coop,23,DS student seeking remote COOP in machine learning and data analysis.,DS,,python; pandas; scikit-learn,,COOP,Remote,noon,Student Internship,General Computing,,,30.0,40.121619133738285,10.121619133738285
eastern-province-cys,96,Cybersecurity student in Dammam open to Khobar and Dhahran SOC roles.,CYS,Dammam,linux,,COOP,On-site,flynas,COOP Trainee / Internship Program,General Computing,,,58.5,48.41332535065461,10.08667464934539
ce-network-dhahran,146,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,NCGR | المركز الوطني لنظم الموارد الحكومية,Coop Training Program,Cybersecurity,linux; networking; cybersecurity fundamentals; security fundamentals,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring,51.5,61.58177421099042,10.081774210990417
ds-remote-coop,68,DS student seeking remote COOP in machine learning and data analysis.,DS,,python; pandas; scikit-learn,,COOP,Remote,Banque Saudi Fransi (BSF),COOP Training,Cybersecurity,linux; networking; cybersecurity fundamentals; security fundamentals,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring,40.0,50.07945083355596,10.07945083355596
ds-gpa-ielts,112,Data science student with GPA 4.5 and IELTS looking for internship in Riyadh.,DS,Riyadh,sql; python,,Internship,On-site,Emdad By Elm,Network Cooperative Training (Network Intern),Network Engineering,networking; linux; security fundamentals; cybersecurity fundamentals,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment,34.5,44.571147040008384,10.071147040008384
ce-network-dhahran,154,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,Markaba | مركبة,Start-up Software Intern – TAMHEER (Saudi nationals only),General Computing,python; apis; sql; git; javascript; html; css; react,docker; testing; cloud; rest apis; typescript; ui testing,35.5,45.56862741380845,10.06862741380845
no-interview-ft,42,Fintech student seeking internship with no interview required in Riyadh.,FT,Riyadh,sql,,Internship,,The Saudi National Bank (SNB),SNB Rowad Program,General Computing,python; apis; sql; git,docker; testing; cloud; rest apis,53.5,43.43205769875082,10.067942301249182
ds-remote-coop,54,DS student seeking remote COOP in machine learning and data analysis.,DS,,python; pandas; scikit-learn,,COOP,Remote,Tawuniya | Tamheer Program (Fresh Graduates),Tamheer Program,Network Engineering,networking; linux; security fundamentals; cybersecurity fundamentals,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment,37.5,47.526780316779536,10.026780316779536
ce-network-dhahran,103,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,Zain KSA,Evolve Program (Fresh Graduates),Cybersecurity,networking; linux; security fundamentals; cybersecurity fundamentals,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment,37.0,47.02002684962519,10.02002684962519
ce-network-dhahran,23,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,noon,Student Internship,General Computing,,,30.0,40.016205946959936,10.016205946959936
ds-scientist-jeddah,156,Data science student at KAU in Jeddah looking for data scientist COOP with statistics and Python.,DS,Jeddah,python; sql; numpy,Data Science,COOP,Hybrid,Meel | ميل,"Software Developer Internship (Remote, min 2 months)",Software Engineering,python; apis; sql; git; javascript; html; css; react,docker; testing; cloud; rest apis; typescript; ui testing,47.33,57.33705852578144,10.007058525781439
ds-scientist-jeddah,89,Data science student at KAU in Jeddah looking for data scientist COOP with statistics and Python.,DS,Jeddah,python; sql; numpy,Data Science,COOP,Hybrid,SAMI Advanced Electronics (SAMI-AEC),Coop Trainee,Cybersecurity,linux; networking; cybersecurity fundamentals; security fundamentals,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring,38.5,48.48337362622438,9.983373626224378
remote-only-de,151,Data engineering student seeking fully remote training anywhere in Saudi Arabia.,DE,Remote,python; sql,,Training,Remote,Motorola Solutions,Deployment Engineer Intern (KSA National - Tamheer Program),Network Engineering,networking; linux; security fundamentals; cybersecurity fundamentals,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment,34.5,44.46927747699322,9.96927747699322
ce-network-dhahran,3,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,stc (Saudi Telecom Company),Cooperative Training Program (COOP),General Computing,networking; linux; security fundamentals; cybersecurity fundamentals,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment,47.0,56.94711933707773,9.94711933707773
ce-network-dhahran,17,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,Boston Consulting Group (BCG),Visiting Associate Internship (Riyadh),General Computing,linux; networking; cybersecurity fundamentals; security fundamentals,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring,47.0,56.94711933707773,9.94711933707773
no-interview-ft,142,Fintech student seeking internship with no interview required in Riyadh.,FT,Riyadh,sql,,Internship,,Saudi Tadawul Group | تداول,Cooperative Training Program (COOP),Software Engineering,linux; networking; cybersecurity fundamentals; security fundamentals; python; apis; sql; git; javascript; html; css; react,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring; docker; testing; cloud; rest apis; typescript; ui testing,53.5,63.41388632044748,9.913886320447482
remote-only-de,134,Data engineering student seeking fully remote training anywhere in Saudi Arabia.,DE,Remote,python; sql,,Training,Remote,TrendAI (Trend Micro),CyberGATE Internship Program,Cybersecurity,networking; linux; security fundamentals; cybersecurity fundamentals,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment,34.5,44.37411109127917,9.874111091279168
remote-only-de,133,Data engineering student seeking fully remote training anywhere in Saudi Arabia.,DE,Remote,python; sql,,Training,Remote,Help AG (e& enterprise),Cybersecurity Intern,Cybersecurity,networking; linux; security fundamentals; cybersecurity fundamentals,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment,34.5,44.37411109127917,9.874111091279168
ce-network-dhahran,46,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,ROSHN | COOP Trainee Program,COOP Trainee Program,General Computing,,,40.0,49.85043124294122,9.85043124294122
ce-network-dhahran,102,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,Visa,COOP Trainee (Jan 2026),General Computing,,,40.0,49.85043124294122,9.85043124294122
de-cloud-dammam,40,Data engineer student in Dammam targeting cloud and big data training with AWS.,DE,Dammam,python; sql,,Training,Hybrid,Saudi Power Procurement Company (SPPC) – Future Power (Business Admin COOP),Future Power – Business Administration COOP Training Program,General Computing,,,33.5,43.31368441712901,9.81368441712901
ds-remote-coop,168,DS student seeking remote COOP in machine learning and data analysis.,DS,,python; pandas; scikit-learn,,COOP,Remote,هيئة التأمين | Insurance Authority,Tamheer Opportunity - Specialist of Information Security,Cybersecurity,linux; networking; cybersecurity fundamentals; security fundamentals,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring,31.5,41.294118384556256,9.794118384556256
eastern-province-cys,3,Cybersecurity student in Dammam open to Khobar and Dhahran SOC roles.,CYS,Dammam,linux,,COOP,On-site,stc (Saudi Telecom Company),Cooperative Training Program (COOP),General Computing,networking; linux; security fundamentals; cybersecurity fundamentals,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment,68.0,58.22438136912573,9.77561863087427
cs-iau-backend,92,CS student at IAU with Python and SQL seeking backend developer internship in Riyadh or Dammam.,CS,Riyadh,python; sql,,Internship,Hybrid,SDM,AI COOP,Machine Learning,python; machine learning; data analysis; sql; etl,nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi,74.0,64.2517349713719,9.748265028628097
ce-network-dhahran,107,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,sirar by stc,Cooperative Training Program,Software Engineering,networking; linux; security fundamentals; cybersecurity fundamentals; python; apis; sql; git; javascript; html; css; react,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment; docker; testing; cloud; rest apis; typescript; ui testing,56.0,65.72221372154708,9.722213721547078
ce-network-dhahran,5,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,Al Rajhi Bank,Cooperative Training Program,General Computing,python; apis; sql; git,docker; testing; cloud; rest apis,45.0,54.71500738726055,9.715007387260549
ce-network-dhahran,62,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,General Authority for Statistics (GASTAT),Cooperative Training Program,Data Analytics,,,44.5,54.2004223241528,9.700422324152797
ce-network-dhahran,63,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,Saudi Center for Opinion Polling (SCOP),Cooperative Training Program,Data Analytics,,,44.5,54.2004223241528,9.700422324152797
ds-scientist-jeddah,114,Data science student at KAU in Jeddah looking for data scientist COOP with statistics and Python.,DS,Jeddah,python; sql; numpy,Data Science,COOP,Hybrid,Foodics,Foodics 360 Internship Program,General Computing,,,33.0,42.69448201655171,9.69448201655171
ds-scientist-jeddah,158,Data science student at KAU in Jeddah looking for data scientist COOP with statistics and Python.,DS,Jeddah,python; sql; numpy,Data Science,COOP,Hybrid,SMART Technology Solutions | سمارت لحلول التقنية,R&D Intern (Riyadh),General Computing,python; apis; sql; git; javascript; html; css; react,docker; testing; cloud; rest apis; typescript; ui testing,42.33,51.99253688871456,9.662536888714563
remote-only-de,155,Data engineering student seeking fully remote training anywhere in Saudi Arabia.,DE,Remote,python; sql,,Training,Remote,Laverne Group | مجموعة لافيرن,Data Analyst / Data Engineer Intern (IT Department),Data Analytics,linux; networking; cybersecurity fundamentals; security fundamentals; python; machine learning; data analysis; sql; etl; apis; git; javascript; html; css; react,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring; nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; docker; testing; cloud; rest apis; typescript; ui testing; statistics; pandas; visualization,51.5,61.14241571637156,9.64241571637156
remote-only-de,148,Data engineering student seeking fully remote training anywhere in Saudi Arabia.,DE,Remote,python; sql,,Training,Remote,Procter & Gamble (P&G),P&G LEADgen Internship Program 2026 (Riyadh),General Computing,,,34.5,44.13413901594158,9.634139015941578
cs-iau-backend,163,CS student at IAU with Python and SQL seeking backend developer internship in Riyadh or Dammam.,CS,Riyadh,python; sql,,Internship,Hybrid,Devoteam,Trainee - Future Leaders Program (Co-op/Fresh Graduate),Cybersecurity,linux; networking; cybersecurity fundamentals; security fundamentals; python; apis; sql; git; javascript; html; css; react,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring; docker; testing; cloud; rest apis; typescript; ui testing,73.5,63.86911131028634,9.630888689713657
ce-network-dhahran,81,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,Bank Albilad,Cooperative Training Program,Cybersecurity,linux; networking; cybersecurity fundamentals; security fundamentals; python; apis; sql; git,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring; docker; testing; cloud; rest apis,52.0,61.58177421099042,9.581774210990417
eastern-province-cys,33,Cybersecurity student in Dammam open to Khobar and Dhahran SOC roles.,CYS,Dammam,linux,,COOP,On-site,National Center for Vegetation Cover Development & Combating Desertification (NCVC),COOP Training Program,General Computing,,,40.0,49.5712579083789,9.571257908378897
eastern-province-cys,46,Cybersecurity student in Dammam open to Khobar and Dhahran SOC roles.,CYS,Dammam,linux,,COOP,On-site,ROSHN | COOP Trainee Program,COOP Trainee Program,General Computing,,,40.0,49.5712579083789,9.571257908378897
cs-iau-backend,160,CS student at IAU with Python and SQL seeking backend developer internship in Riyadh or Dammam.,CS,Riyadh,python; sql,,Internship,Hybrid,Water Transmission Company | شركة نقل المياه,Tamheer Internship Program (HRIS / Engineering & PM - Riyadh),General Computing,python; apis; sql; git; javascript; html; css; react,docker; testing; cloud; rest apis; typescript; ui testing,75.5,65.94494766457298,9.555052335427021
cs-iau-backend,155,CS student at IAU with Python and SQL seeking backend developer internship in Riyadh or Dammam.,CS,Riyadh,python; sql,,Internship,Hybrid,Laverne Group | مجموعة لافيرن,Data Analyst / Data Engineer Intern (IT Department),Data Analytics,linux; networking; cybersecurity fundamentals; security fundamentals; python; machine learning; data analysis; sql; etl; apis; git; javascript; html; css; react,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring; nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; docker; testing; cloud; rest apis; typescript; ui testing; statistics; pandas; visualization,88.5,78.95676109459829,9.543238905401708
ce-network-dhahran,126,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,Trendyol Group,Trendyol Tech Talent - Bootcamp & COOP Internship Program (Saudi Students Only),General Computing,,,41.0,50.51091240473004,9.510912404730043
ds-remote-coop,162,DS student seeking remote COOP in machine learning and data analysis.,DS,,python; pandas; scikit-learn,,COOP,Remote,SAS,CareerStart@SAS 2026 - Presales Customer Intelligence Intern (Riyadh),General Computing,python; machine learning; data analysis; sql; etl,nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi,42.67,52.17355901989896,9.503559019898958
ds-remote-coop,164,DS student seeking remote COOP in machine learning and data analysis.,DS,,python; pandas; scikit-learn,,COOP,Remote,ضالتي Dhallaty,Tech Intern: Fresh Grad or Student,General Computing,python; apis; sql; git; javascript; html; css; react,docker; testing; cloud; rest apis; typescript; ui testing,42.67,52.17355901989896,9.503559019898958
ds-remote-coop,104,DS student seeking remote COOP in machine learning and data analysis.,DS,,python; pandas; scikit-learn,,COOP,Remote,Zain KSA,Zain Pioneers Program,Network Engineering,networking; linux; security fundamentals; cybersecurity fundamentals,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment,34.5,43.99705820710972,9.497058207109717
eastern-province-cys,71,Cybersecurity student in Dammam open to Khobar and Dhahran SOC roles.,CYS,Dammam,linux,,COOP,On-site,OmniOps,Co‑op Training Program,Data Science,linux; networking; cybersecurity fundamentals; security fundamentals; python; machine learning; data analysis; sql; etl,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring; nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; statistics; pandas; visualization,77.0,67.5039131561461,9.496086843853902
eastern-province-cys,150,Cybersecurity student in Dammam open to Khobar and Dhahran SOC roles.,CYS,Dammam,linux,,COOP,On-site,Boeing Saudi Arabia Limited,Intern - Info Technology & Data Analytics (Riyadh),Data Analytics,linux; networking; cybersecurity fundamentals; security fundamentals; python; machine learning; data analysis; sql; etl; apis; git; javascript; html; css; react,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring; nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; docker; testing; cloud; rest apis; typescript; ui testing; statistics; pandas; visualization,67.0,57.51684916170851,9.483150838291493
ce-network-dhahran,44,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,PIF | Graduate Development Program,Graduate Development Program (GDP),Data Analytics,,,34.5,43.97339302017848,9.473393020178477
qual-ielts-intern,11,Business-oriented CIS student with IELTS 6.5 seeking internship in Jeddah.,CIS,Jeddah,excel; sql,,Internship,On-site,Bank Albilad,Cooperative & Summer Training Program,Network Engineering,networking; linux; security fundamentals; cybersecurity fundamentals; python; apis; sql; git,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment; docker; testing; cloud; rest apis,58.17,48.73062693626542,9.439373063734578
remote-only-de,4,Data engineering student seeking fully remote training anywhere in Saudi Arabia.,DE,Remote,python; sql,,Training,Remote,Saudi National Bank (SNB),SNB Cooperative Training Program,General Computing,python; apis; sql; git,docker; testing; cloud; rest apis,58.5,49.10922996573714,9.390770034262857
ds-remote-coop,112,DS student seeking remote COOP in machine learning and data analysis.,DS,,python; pandas; scikit-learn,,COOP,Remote,Emdad By Elm,Network Cooperative Training (Network Intern),Network Engineering,networking; linux; security fundamentals; cybersecurity fundamentals,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment,44.5,53.88356383173469,9.38356383173469
ds-scientist-jeddah,105,Data science student at KAU in Jeddah looking for data scientist COOP with statistics and Python.,DS,Jeddah,python; sql; numpy,Data Science,COOP,Hybrid,Savvy Games Group,Cooperative Training Program (Co-op),Cybersecurity,linux; networking; cybersecurity fundamentals; security fundamentals,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring,38.5,47.88310566099548,9.383105660995483
no-interview-ft,82,Fintech student seeking internship with no interview required in Riyadh.,FT,Riyadh,sql,,Internship,,Saudi Ground Services (SGS),COOP Program,General Computing,,,29.5,38.87599105207948,9.375991052079478
ds-remote-coop,1,DS student seeking remote COOP in machine learning and data analysis.,DS,,python; pandas; scikit-learn,,COOP,Remote,Saudi Aramco,University Internship Program (UIP),General Computing,,,40.0,49.36264518897306,9.362645188973062
ds-remote-coop,40,DS student seeking remote COOP in machine learning and data analysis.,DS,,python; pandas; scikit-learn,,COOP,Remote,Saudi Power Procurement Company (SPPC) – Future Power (Business Admin COOP),Future Power – Business Administration COOP Training Program,General Computing,,,40.0,49.36264518897306,9.362645188973062
no-interview-ft,115,Fintech student seeking internship with no interview required in Riyadh.,FT,Riyadh,sql,,Internship,,Salla,برنامج التدريب التعاوني (Coop Training) – Salla,General Computing,,,29.5,38.85412571048554,9.35412571048554
ce-network-dhahran,171,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,Infosys,Summer Intern (Infosys InStep ’26 – Bangalore),General Computing,,,33.0,42.33540328476917,9.335403284769171
cs-iau-backend,173,CS student at IAU with Python and SQL seeking backend developer internship in Riyadh or Dammam.,CS,Riyadh,python; sql,,Internship,Hybrid,Abunayyan Holding,Data Analyst (Tamheer),Data Analytics,python; sql; data analysis,machine learning; statistics; pandas; visualization,69.0,59.66980412995651,9.33019587004349
qual-ielts-intern,28,Business-oriented CIS student with IELTS 6.5 seeking internship in Jeddah.,CIS,Jeddah,excel; sql,,Internship,On-site,"Zakat, Tax and Customs Authority (ZATCA)",Binaa-Alkafaat Program,General Computing,,,49.0,39.67196960857847,9.328030391421528
ds-remote-coop,63,DS student seeking remote COOP in machine learning and data analysis.,DS,,python; pandas; scikit-learn,,COOP,Remote,Saudi Center for Opinion Polling (SCOP),Cooperative Training Program,Data Analytics,,,44.5,53.76774801024072,9.267748010240723
ds-remote-coop,62,DS student seeking remote COOP in machine learning and data analysis.,DS,,python; pandas; scikit-learn,,COOP,Remote,General Authority for Statistics (GASTAT),Cooperative Training Program,Data Analytics,,,44.5,53.76774801024072,9.267748010240723
ce-network-dhahran,98,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,Saudi Motorsport Company (SMC),COOP Trainee (Supply Chain Excellence Associate),Data Analytics,linux; networking; cybersecurity fundamentals; security fundamentals,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring,51.5,60.766982864009314,9.266982864009314
ds-scientist-jeddah,102,Data science student at KAU in Jeddah looking for data scientist COOP with statistics and Python.,DS,Jeddah,python; sql; numpy,Data Science,COOP,Hybrid,Visa,COOP Trainee (Jan 2026),General Computing,,,38.5,47.76656798164148,9.26656798164148
ds-scientist-jeddah,66,Data science student at KAU in Jeddah looking for data scientist COOP with statistics and Python.,DS,Jeddah,python; sql; numpy,Data Science,COOP,Hybrid,Ministry of Finance (Saudi Arabia),Cooperative Training Program (Ministry of Finance),General Computing,,,38.5,47.76656798164148,9.26656798164148
ds-scientist-jeddah,33,Data science student at KAU in Jeddah looking for data scientist COOP with statistics and Python.,DS,Jeddah,python; sql; numpy,Data Science,COOP,Hybrid,National Center for Vegetation Cover Development & Combating Desertification (NCVC),COOP Training Program,General Computing,,,38.5,47.76656798164148,9.26656798164148
ds-scientist-jeddah,46,Data science student at KAU in Jeddah looking for data scientist COOP with statistics and Python.,DS,Jeddah,python; sql; numpy,Data Science,COOP,Hybrid,ROSHN | COOP Trainee Program,COOP Trainee Program,General Computing,,,38.5,47.76656798164148,9.26656798164148
ds-remote-coop,101,DS student seeking remote COOP in machine learning and data analysis.,DS,,python; pandas; scikit-learn,,COOP,Remote,Alvarez & Marsal,COOP Training Program,Cybersecurity,linux; networking; cybersecurity fundamentals; security fundamentals,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring,40.0,49.25509317955058,9.255093179550578
ds-remote-coop,89,DS student seeking remote COOP in machine learning and data analysis.,DS,,python; pandas; scikit-learn,,COOP,Remote,SAMI Advanced Electronics (SAMI-AEC),Coop Trainee,Cybersecurity,linux; networking; cybersecurity fundamentals; security fundamentals,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring,40.0,49.25509317955058,9.255093179550578
ds-remote-coop,88,DS student seeking remote COOP in machine learning and data analysis.,DS,,python; pandas; scikit-learn,,COOP,Remote,Tech Economy,COOP Training Program,Cybersecurity,linux; networking; cybersecurity fundamentals; security fundamentals,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring,40.0,49.25509317955058,9.255093179550578
ds-remote-coop,90,DS student seeking remote COOP in machine learning and data analysis.,DS,,python; pandas; scikit-learn,,COOP,Remote,NHC,COOP Trainee,Cybersecurity,linux; networking; cybersecurity fundamentals; security fundamentals,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring,40.0,49.25509317955058,9.255093179550578
ds-remote-coop,99,DS student seeking remote COOP in machine learning and data analysis.,DS,,python; pandas; scikit-learn,,COOP,Remote,Mobily,Cooperative Training Program,Cybersecurity,networking; linux; security fundamentals; cybersecurity fundamentals,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment,40.0,49.25509317955058,9.255093179550578
